48	48	48	0.000	0.000
9	73	45	1.00	1.000
72	73	45	-1.00	1.000
55	55	55	1.00	-1.000
48	48	48	-1.00	-1.000
72	73	68	0.700	0.750
45	45	45	0.600	0.550
72	73	71	0.500	0.750
72	73	56	0.250	0.750
73	68	71	0.200	0.175
73	68	70	0.100	0.750
71	68	70	0.100	0.250
70	69	60	0.000	0.300
72	73	48	-0.700	0.750
72	48	69	-0.600	0.550
48	73	71	-0.500	0.750
72	48	56	-0.250	0.750
48	68	71	-0.200	0.175
73	48	70	-0.100	0.750
71	48	48	-0.100	0.250
61	61	61	0.700	-0.750
61	57	58	0.600	-0.550
56	57	58	0.500	-0.750
61	48	48	0.250	-0.750
48	48	61	0.200	-0.175
48	61	61	0.100	-0.750
48	61	48	0.100	-0.250
74	48	61	0.000	-0.300
72	73	48	-0.700	0.750
72	48	69	-0.600	0.550
48	73	71	-0.500	0.750
72	48	56	-0.250	0.750
48	68	71	-0.200	0.175
73	48	70	-0.100	0.750
71	48	48	-0.100	0.250
