21	0.943	0.904
48	0.723	0.857
2	0.733	0.881
55	0.777	0.881
48	0.333	0.881
73	0.467	0.857
72	0.733	0.857
75	0.400	0.857
48	0.667	0.857
71	0.723	0.786
46	0.833	0.786
0	0.933	0.761
0	0.610	0.743
48	0.667	0.739
48	0.057	0.739
48	-0.200	0.667
48	0.167	0.643
0	0.890	0.643
56	0.610	0.643
48	0.200	0.596
48	0.133	0.547
48	0.333	0.524
73	-0.390	0.477
68	-0.557	0.310
73	0.200	0.453
0	-0.467	0.167
48	0.067	0.190
48	-0.167	-0.029
40	0.000	-0.029
9	-0.557	-0.429
48	-0.557	-0.953
40	-0.610	-0.904
0	-0.500	-0.929
0	-0.610	-0.904
104	-0.833	-0.881
48	-0.610	-0.833
48	-0.667	-0.857
48	-0.777	-0.739
73	-0.390	-0.761
56	0.110	-0.743
46	-0.467	-0.739
65	-0.600	-0.714
48	-0.467	-0.714
48	-0.600	-0.714
73	-0.533	-0.690
48	-0.133	-0.690
0	-0.333	-0.594
0	-0.723	-0.667
24	-0.667	-0.547
48	-0.600	-0.619
71	-0.200	-0.571
48	-0.200	-0.476
73	-0.600	-0.514
0	-0.443	-0.310
48	-0.467	-0.261
73	-0.390	-0.314
0	-0.733	-0.096
71	-0.223	0.071
48	-0.467	0.000
48	-0.167	0.571
73	-0.400	0.547
0	0.110	-0.086
24	-0.667	-0.400
46	-0.533	0.381
0	-0.267	0.333
68	-0.443	0.314
48	-0.223	0.453
0	-0.267	0.191
73	-0.067	0.190
46	-0.443	0.119
0	-0.800	0.049
68	-0.167	0.286
48	-0.267	0.237
0	-0.333	0.429
73	-0.333	0.310
46	-0.467	-0.381
0	0.110	0.400
68	-0.333	-0.237
48	-0.667	0.453
0	-0.167	-0.357
73	-0.443	-0.667
46	-0.390	-0.049
0	0.110	0.477
68	-0.723	-0.800
48	-0.557	-0.881
0	-0.200	0.286
73	-0.600	-0.643
48	-0.600	0.166
0	-0.723	-0.237
73	-0.333	0.357
48	0.167	-0.844
48	0.557	-0.769
73	-0.223	-0.669
48	0.400	-0.667
25	0.467	-0.749
48	0.223	-0.667
90	0.667	-0.639
14	0.000	-0.687
48	0.200	-0.664
48	0.500	-0.636
48	-0.110	-0.592
48	0.277	-0.673
73	0.667	-0.646
48	0.333	-0.666
25	0.223	-0.698
48	-0.400	-0.558
90	-0.390	-0.558
14	0.277	-0.741
48	-0.133	-0.660
48	0.777	-0.700
48	0.400	-0.680
48	-0.333	-0.514
73	0.500	-0.511
48	0.000	-0.502
25	-0.067	-0.466
48	-0.067	-0.558
90	0.000	-0.506
14	-0.667	-0.412
48	-0.500	-0.318
48	-0.467	-0.316
61	0.390	-0.904
61	0.500	-0.841
61	0.800	-0.850
55	0.600	-0.769
47	0.600	-0.788
61	0.600	-0.782
61	0.867	-0.769
56	0.667	-0.823
48	0.400	-0.817
61	0.400	-0.721
61	0.333	-0.759
61	0.000	-0.762
61	0.557	-0.707
55	0.557	-0.731
47	0.057	-0.743
61	0.500	-0.708
61	0.133	-0.701
56	0.600	-0.665
48	0.667	-0.616
61	0.467	-0.626
61	0.390	-0.707
61	0.667	-0.605
61	0.333	-0.520
55	0.223	-0.544
47	-0.110	-0.548
61	0.277	-0.510
61	-0.333	-0.459
56	0.223	-0.445
48	-0.610	-0.286
61	-0.467	-0.310
