21	0				0.943	0.904
48	60	57	58		0.723	0.857
2	48				0.733	0.881
55					0.777	0.881
48	0	60			0.333	0.881
73	60				0.467	0.857
72	73	56	45	43	0.733	0.857
75	40				0.400	0.857
48	61				0.667	0.857
71	73	48	61		0.723	0.786
46	0	48			0.833	0.786
0	48				0.933	0.761
0	43				0.610	0.743
48	71	0	48	70	0.667	0.739
48	24				0.057	0.739
48	48				-0.200	0.667
48	71				0.167	0.643
0	48				0.890	0.643
56	57	60	48		0.610	0.643
48	56	57			0.200	0.596
48	48				0.133	0.547
48	48	56	71		0.333	0.524
73	48				-0.390	0.477
68	48				-0.557	0.310
73	48	0			0.200	0.453
0	48				-0.467	0.167
48	2				0.067	0.190
48	46				-0.167	-0.029
40	41	48			0.000	-0.029
9	0	48			-0.557	-0.429
48					-0.557	-0.953
40					-0.610	-0.904
0	48	48			-0.500	-0.929
0	46	48			-0.610	-0.904
104	48	75			-0.833	-0.881
48					-0.610	-0.833
48					-0.667	-0.857
48					-0.777	-0.739
73	48	24			-0.390	-0.761
56	48	61			0.110	-0.743
46	48	0			-0.467	-0.739
65					-0.600	-0.714
48					-0.467	-0.714
48					-0.600	-0.714
73					-0.533	-0.690
48	73				-0.133	-0.690
0	71	48	46		-0.333	-0.594
0	48				-0.723	-0.667
24	48	73			-0.667	-0.547
48					-0.600	-0.619
71	73	70	48		-0.200	-0.571
48	60	46			-0.200	-0.476
73	60	48			-0.600	-0.514
0	48				-0.443	-0.310
48	0	73			-0.467	-0.261
73	72	48	90		-0.390	-0.314
0	48				-0.733	-0.096
71	9	73	0	52	-0.223	0.071
48					-0.467	0.000
48					-0.167	0.571
73	48	46			-0.400	0.547
0	48				0.110	-0.086
24					-0.667	-0.400
46	48				-0.533	0.381
0	48	90			-0.267	0.333
68	71	73	48		-0.443	0.314
48	46				-0.223	0.453
0	48	90			-0.267	0.191
73	48	46			-0.067	0.190
46	48				-0.443	0.119
0	48	90			-0.800	0.049
68	71	73	48		-0.167	0.286
48	46				-0.267	0.237
0	48	90			-0.333	0.429
73	48	46			-0.333	0.310
46	48				-0.467	-0.381
0	48	90			0.110	0.400
68	71	73	48		-0.333	-0.237
48	46				-0.667	0.453
0	48	90			-0.167	-0.357
73	48	46			-0.443	-0.667
46	48				-0.390	-0.049
0	48	90			0.110	0.477
68	71	73	48		-0.723	-0.800
48	46				-0.557	-0.881
0	48	90			-0.200	0.286
73	48	46			-0.600	-0.643
48	46				-0.600	0.166
0	48	90			-0.723	-0.237
73	48	46			-0.333	0.357
48	47				0.167	-0.844
48	46				0.557	-0.769
73	48				-0.223	-0.669
48	73				0.400	-0.667
25	47	48			0.467	-0.749
48					0.223	-0.667
90	48	47			0.667	-0.639
14	48				0.000	-0.687
48	47				0.200	-0.664
48					0.500	-0.636
48	47				-0.110	-0.592
48	46				0.277	-0.673
73	48				0.667	-0.646
48	73				0.333	-0.666
25	47	48			0.223	-0.698
48					-0.400	-0.558
90	48	47			-0.390	-0.558
14	48				0.277	-0.741
48	47				-0.133	-0.660
48					0.777	-0.700
48	47				0.400	-0.680
48	46				-0.333	-0.514
73	48				0.500	-0.511
48	73				0.000	-0.502
25	47	48			-0.067	-0.466
48					-0.067	-0.558
90	48	47			0.000	-0.506
14	48				-0.667	-0.412
48	47				-0.500	-0.318
48					-0.467	-0.316
61	73				0.390	-0.904
61	73				0.500	-0.841
61	48	154			0.800	-0.850
55					0.600	-0.769
47	61	154			0.600	-0.788
61	48	154	119		0.600	-0.782
61	48	154			0.867	-0.769
56	48				0.667	-0.823
48	60				0.400	-0.817
61	48				0.400	-0.721
61	73				0.333	-0.759
61	73				0.000	-0.762
61	48	154			0.557	-0.707
55					0.557	-0.731
47	61	154			0.057	-0.743
61	48	154	119		0.500	-0.708
61	48	154			0.133	-0.701
56	48				0.600	-0.665
48	60				0.667	-0.616
61	48				0.467	-0.626
61	73				0.390	-0.707
61	73				0.667	-0.605
61	48	154			0.333	-0.520
55					0.223	-0.544
47	61	154			-0.110	-0.548
61	48	154	119		0.277	-0.510
61	48	154			-0.333	-0.459
56	48				0.223	-0.445
48	60				-0.610	-0.286
61	48				-0.467	-0.310
